cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C4,🔑 I just found the key.,LifeVision Lab,77,77,False,1,DK,1155,$9/mo,direct_checkout,Skool: Discover Communities or Create Your Own,skool.com
C4,Ever noticed how stress convinces you to do more when what your body really needs is to pause?,Yoga Health & Wellness,77,77,False,1,GB,,gated,application_form,"Somatics, Hypnotherapy & NLP, Reiki and 1:1 Yoga Sessions in Canterbury, Kent",https://yogahealthandwellness.co.uk/
C4,My 9yr old still wets the bed. He stuffed his wet pull-up under his pillow last night and didn't tell me.,Tanisha Martinez,76,76,False,1,AUGB,,$50,direct_checkout,,trysaphire.com
C4,Experience a healing IFS Journey in Portugal with Jory Agate in October 2026 🧘‍♀️,LifeArchitect,76,76,False,1,DK,15169,22KR,direct_checkout,Your nurturing space for professional growth and transformative experiences,lifearchitect.com
C4,"If your belly won't move no matter what you eat or how much you exercise, cortisol is almost certainly the reason. High cortisol tells your body to store fat specifically in the abdomen, spikes hunger, kills fullness signals, and wrecks sleep, which raises cortisol again the next morning and keeps the whole cycle running.",Dr. Greg D Raymond,74,74,False,1,AUGBUS,,$1,direct_checkout,,rituallabs.shop
C4,Watch Maya. She's not being bad.,Build Legends,74,74,False,1,GB,,$1,unknown,Legends,try.buildlegends.com
C4,Sunt zile în care totul pare mai greu decât ar trebui.,Health Library,72,72,False,2,DKGB,349,,,,healthy.com
C4,The calming pod that feels like a hug.,Nesti,72,72,False,4,DEDKGBNL,301,$56.50,direct_checkout,,nestishop.com
C4,"A nervous system stuck in chronic activation, braced and flooded and unable to settle, is in real distress, and distress demands relief, and the brain will reach for whatever delivers relief fastest.",Stan Taylor,69,69,False,1,AUDEDKGBNL,3845,$0,direct_checkout,The Black Book of Power,stantaylor.com
C4,permission granted to ditch your 12 step wellness routine 👇🏼,The Workout Witch,65,65,False,1,AUGBUS,30,$29.00,direct_checkout,Embody: Nervous System Reset App,theworkoutwitch.com
C4,Your voice holds the key to emotional freedom. Join our live online healing session!,Songdance,61,61,False,4,DKNL,8119,€99,application_form,"sounded. "",""Your voice already knows  how. "",""Before the words, there was a  sound. "",""You were born making  sound. ""]"">Some things can't be said. They can be  sounded.",songdance.co
